1/16, p=0.01, 2.355598042, 2026-03-28T22:45:10.274
2/16, p=0.011978600582696366, 1.498574625, 2026-03-28T22:45:11.778
3/16, p=0.014348687191977362, 1.455831083, 2026-03-28T22:45:13.247
4/16, p=0.01718771927587479, 1.838662084, 2026-03-28T22:45:15.108
5/16, p=0.02058848241332152, 2.192377917, 2026-03-28T22:45:17.311
6/16, p=0.0246621207433047, 1.973031209, 2026-03-28T22:45:19.325
7/16, p=0.02954176939062777, 2.056015917, 2026-03-28T22:45:21.412
8/16, p=0.03538690560364554, 2.347756667, 2026-03-28T22:45:23.772
9/16, p=0.04238856080836498, 2.797946375, 2026-03-28T22:45:26.579
10/16, p=0.050775563919874075, 5.349277333, 2026-03-28T22:45:31.939
11/16, p=0.06082201995573401, 6.085330583, 2026-03-28T22:45:38.050
12/16, p=0.0728562683682525, 11.725673959, 2026-03-28T22:45:49.791
13/16, p=0.08727161387290322, 18.648650708, 2026-03-28T22:46:08.444
14/16, p=0.10453918047908103, 31.19886225, 2026-03-28T22:46:39.674
15/16, p=0.12522330882013202, 45.022527459, 2026-03-28T22:47:24.706
16/16, p=0.15, 61.838617958, 2026-03-28T22:48:26.570
