1/16, p=0.01, 3.007929041, 2026-03-28T22:43:25.017
2/16, p=0.011978600582696366, 1.087112375, 2026-03-28T22:43:26.147
3/16, p=0.014348687191977362, 0.9941715, 2026-03-28T22:43:27.166
4/16, p=0.01718771927587479, 0.908104708, 2026-03-28T22:43:28.085
5/16, p=0.02058848241332152, 1.026590875, 2026-03-28T22:43:29.119
6/16, p=0.0246621207433047, 1.234893958, 2026-03-28T22:43:30.371
7/16, p=0.02954176939062777, 1.525212459, 2026-03-28T22:43:31.926
8/16, p=0.03538690560364554, 1.35033925, 2026-03-28T22:43:33.283
9/16, p=0.04238856080836498, 1.793194459, 2026-03-28T22:43:35.112
10/16, p=0.050775563919874075, 2.627446584, 2026-03-28T22:43:37.746
11/16, p=0.06082201995573401, 3.488936208, 2026-03-28T22:43:41.251
12/16, p=0.0728562683682525, 4.61058175, 2026-03-28T22:43:45.894
13/16, p=0.08727161387290322, 6.178154875, 2026-03-28T22:43:52.082
14/16, p=0.10453918047908103, 10.268359375, 2026-03-28T22:44:02.354
15/16, p=0.12522330882013202, 12.675918, 2026-03-28T22:44:15.036
16/16, p=0.15, 16.953904625, 2026-03-28T22:44:32.002
