1/16, p=0.01, 2.638640209, 2026-03-28T22:49:37.340
2/16, p=0.011978600582696366, 2.253053458, 2026-03-28T22:49:39.613
3/16, p=0.014348687191977362, 2.714660459, 2026-03-28T22:49:42.339
4/16, p=0.01718771927587479, 2.935222875, 2026-03-28T22:49:45.295
5/16, p=0.02058848241332152, 3.128333125, 2026-03-28T22:49:48.464
6/16, p=0.0246621207433047, 3.03028225, 2026-03-28T22:49:51.505
7/16, p=0.02954176939062777, 3.314619458, 2026-03-28T22:49:54.829
8/16, p=0.03538690560364554, 3.661508583, 2026-03-28T22:49:58.502
9/16, p=0.04238856080836498, 4.293900334, 2026-03-28T22:50:02.814
10/16, p=0.050775563919874075, 6.483276125, 2026-03-28T22:50:09.314
11/16, p=0.06082201995573401, 9.137056542, 2026-03-28T22:50:18.560
12/16, p=0.0728562683682525, 16.283755792, 2026-03-28T22:50:34.852
13/16, p=0.08727161387290322, 28.286744791, 2026-03-28T22:51:03.148
14/16, p=0.10453918047908103, 50.850388417, 2026-03-28T22:51:54.036
15/16, p=0.12522330882013202, 81.83242575, 2026-03-28T22:53:15.873
16/16, p=0.15, 120.974437417, 2026-03-28T22:55:16.854
