1/30, 3, 299.928751362, 2024-12-16T19:26:31.043
2/30, 5, 845.491783078, 2024-12-16T19:40:36.540
3/30, 7, 2321.412214151, 2024-12-16T20:19:17.967
4/30, 3, 308.749578154, 2024-12-16T20:24:26.719
5/30, 5, 883.975220843, 2024-12-16T20:39:10.700
6/30, 7, 2396.703010986, 2024-12-16T21:19:07.459
7/30, 3, 310.804106705, 2024-12-16T21:24:18.267
8/30, 5, 879.448040244, 2024-12-16T21:38:57.721
9/30, 7, 2392.755503092, 2024-12-16T22:18:50.489
10/30, 3, 310.218123133, 2024-12-16T22:24:00.710
11/30, 5, 881.700145535, 2024-12-16T22:38:42.415
12/30, 7, 2402.647878015, 2024-12-16T23:18:45.074
13/30, 3, 315.857749127, 2024-12-16T23:24:00.935
14/30, 5, 894.787967234, 2024-12-16T23:38:55.729
15/30, 7, 2397.563534831, 2024-12-17T00:18:53.307
16/30, 3, 315.323185024, 2024-12-17T00:24:08.632
17/30, 5, 885.907892745, 2024-12-17T00:38:54.545
18/30, 7, 2395.840676061, 2024-12-17T01:18:50.397
19/30, 3, 311.08870635, 2024-12-17T01:24:01.489
20/30, 5, 878.343133284, 2024-12-17T01:38:39.837
21/30, 7, 2402.065959833, 2024-12-17T02:18:41.916
22/30, 3, 315.620321121, 2024-12-17T02:23:57.540
23/30, 5, 889.247143542, 2024-12-17T02:38:46.793
24/30, 7, 2324.820914239, 2024-12-17T03:17:31.625
25/30, 3, 308.099380668, 2024-12-17T03:22:39.727
26/30, 5, 870.866056141, 2024-12-17T03:37:10.600
27/30, 7, 2393.66611548, 2024-12-17T04:17:04.279
28/30, 3, 304.572183317, 2024-12-17T04:22:08.855
29/30, 5, 862.29024754, 2024-12-17T04:36:31.150
30/30, 7, 1344.013678771, 2024-12-17T04:58:55.175
