1/1, 1/12, 5, 12372.969389589, 2024-12-14T23:25:51.937
1/1, 2/12, 5, 12661.201109, 2024-12-15T02:56:53.143
1/1, 3/12, 5, 12288.382799672, 2024-12-15T06:21:41.531
1/1, 4/12, 5, 12664.202345892, 2024-12-15T09:52:45.740
1/1, 5/12, 5, 12038.268425666, 2024-12-15T13:13:24.015
1/1, 6/12, 5, 12097.457376938, 2024-12-15T16:35:01.476
1/1, 7/12, 5, 12331.950770285, 2024-12-15T20:00:33.433
1/1, 8/12, 5, 12112.310188578, 2024-12-15T23:22:25.748
1/1, 9/12, 5, 12173.20094899, 2024-12-16T02:45:18.953
1/1, 10/12, 5, 12000.52470738, 2024-12-16T06:05:19.484
1/1, 11/12, 5, 12011.260614542, 2024-12-16T09:25:30.751
1/1, 12/12, 5, 11347.491357614, 2024-12-16T12:34:38.245
